Date,score
2020-06-26,-0.006404389240833123
2020-06-27,-0.010544640563998545
2020-06-28,-0.01254221485113649
2020-06-29,0.008165716519680418
2020-06-30,-0.013382462360471803
2020-07-01,-0.02171360584349295
2020-07-02,-0.03388841008575968
2020-07-03,-0.013223690350061398
2020-07-04,-0.01152236244742381
2020-07-05,-0.008321119878343275
2020-07-06,-0.010381145094212249
2020-07-07,-0.01141810397026836
2020-07-08,-0.010193501141305942
2020-07-09,-0.00720156141413227
2020-07-10,-0.012479320177490094
2020-07-11,-0.006015468192321165
2020-07-12,-0.03629789148653236
2020-07-13,-0.0028614545001944083
2020-07-14,-0.004323874941735324
2020-07-15,-0.015690903195820782
2020-07-16,-0.018441693703373823
2020-07-17,-0.01842873055032797
2020-07-18,-0.012011997515465223
2020-07-19,-0.0038435622200435984
2020-07-20,-0.0006627285480933498
2020-07-21,-0.011967697955662623
2020-07-22,-0.009547276045902406
2020-07-23,0.00980772232576621
2020-07-24,-0.008873160214030692
2020-07-25,-0.017938140855480993
2020-07-26,-0.027363175075865942
2020-07-27,-0.00905930675082256
2020-07-28,-0.034636865808316895
2020-07-29,-0.004483682736269312
2020-07-30,-0.016208795440163664
2020-07-31,-0.02468984331526995
2020-08-01,-0.01562938244563265
2020-08-02,0.0029138622512074885
2020-08-03,-0.007554115597473728
2020-08-04,-0.01556024505089637
2020-08-05,-0.023967269834468435
2020-08-06,-0.026102682048751213
2020-08-07,-0.0043451019179924595
2020-08-08,-0.019358922061571453
2020-08-09,-0.007365852386866156
2020-08-10,-0.03626169656734194
2020-08-11,-0.017653442289586097
2020-08-12,-0.006542354984424015
2020-08-13,-0.013871392547487113
2020-08-14,-0.0024027014440101877
2020-08-15,-0.017365575778854076
2020-08-16,-0.014452562876543618
2020-08-17,-0.025912231956526626
2020-08-18,-0.011319455045465795
2020-08-19,-0.015352273329169367
2020-08-20,-0.009535004667585093
2020-08-21,-0.0031287052428798554
2020-08-22,-0.008336237061600102
2020-08-23,-0.005548170545865094
2020-08-24,-0.014258658644999422
2020-08-25,-0.021621585923683795
2020-08-26,-0.0023585728186890456
2020-08-27,-0.011638445122589195
2020-08-28,-0.02219830985318953
2020-08-29,-0.016912965650358786
2020-08-30,-0.027266949816571295
2020-08-31,-0.014870907929655175
2020-09-01,-0.011559281293550957
2020-09-02,-0.018928081279632598
2020-09-03,-0.020744764144574195
2020-09-04,0.004283866928853408
2020-09-05,-0.012547977976947547
2020-09-06,-0.004537654947956586
2020-09-07,-0.007478526201807519
2020-09-08,-0.016191163430705185
2020-09-09,-0.0035530319542815456
2020-09-10,-0.015106155663672793
2020-09-11,-0.02029097252056537
2020-09-12,-0.020715859033676454
2020-09-13,0.022007738158691097
2020-09-14,-0.026932993157875302
2020-09-15,-0.012924633766774107
2020-09-16,0.010930749546515147
2020-09-17,-0.0006047848252942097
2020-09-18,-0.003332636202405278
2020-09-19,-0.011440704653304379
2020-09-20,-0.018953868811585967
2020-09-21,-0.01909763901481291
2020-09-22,-0.009403657543260632
2020-09-23,-0.012155784369488646
2020-09-24,0.0013812494008676273
2020-09-25,-0.010158907188793864
2020-09-26,-0.015526034982215053
2020-09-27,0.0030621171649904966
2020-09-28,-0.012781302157767885
2020-09-29,-0.00667953646007402
2020-09-30,-0.008017584999096439
2020-10-01,-0.004198436068220716
2020-10-02,0.003976657192532818
2020-10-03,-0.0024053802833838844
2020-10-04,-0.01896639407852041
2020-10-05,-0.011708742426897492
2020-10-06,-0.025057130722482574
2020-10-07,-0.003174310979719319
2020-10-08,-0.022720121947287675
2020-10-09,-0.024824242708752497
2020-10-10,-0.020813417840633324
2020-10-11,0.0029500675626637682
2020-10-12,-0.02474392797083617
2020-10-13,-0.015252864076815845
2020-10-14,0.0073598437549560565
2020-10-15,-0.019757199811520576
2020-10-16,-0.0128046901016902
2020-10-17,0.013840493933362619
2020-10-18,-0.019305606145570236
2020-10-19,-0.01386348243966562
2020-10-20,0.0011877558118132587
2020-10-21,-0.01140461771508916
2020-10-22,-0.007097065875028859
2020-10-23,-0.014355700382032896
2020-10-24,-0.014000072606449495
2020-10-25,-0.004415989516061518
2020-10-26,-0.0064493534371640555
2020-10-27,-0.0030877529748001287
2020-10-28,0.00027540371010422354
2020-10-29,-0.008728807497169791
2020-10-30,0.022224294807783318
2020-10-31,-0.02075479604842545
2020-11-01,-0.01320712906878104
2020-11-02,-0.017208550475651323
2020-11-03,-0.024637796369546067
2020-11-04,-0.033739003622612805
2020-11-05,-0.01519912551647847
2020-11-06,0.004185545578592483
2020-11-07,-0.011311168506154212
2020-11-08,-0.004335925397388289
2020-11-09,-0.00861846272936051
2020-11-10,-0.012339592696874013
2020-11-11,0.00543572725174805
2020-11-12,0.005861401138561484
2020-11-13,-0.007303478230540487
2020-11-14,-0.018884399562613268
2020-11-15,-0.014174707943229762
2020-11-16,0.002357491398979968
2020-11-17,-0.025873881987785063
2020-11-18,-0.02843629246729144
2020-11-19,-0.020250102643394403
2020-11-20,-0.014699876908946105
2020-11-21,-0.03139039395793456
2020-11-22,-0.016534730223742373
2020-11-23,-0.00845324026615187
2020-11-24,-0.026122715148895748
2020-11-25,-0.012314840043896491
2020-11-26,-0.006607904445728489
2020-11-27,-0.0164571084659354
2020-11-28,-0.009335819641543583
2020-11-29,-0.018216254555482814
2020-11-30,-0.012705784913673615
2020-12-01,-0.011218016949210319
2020-12-02,-0.012078685085727145
2020-12-03,-0.016302201913730736
2020-12-04,-0.02458034555054589
2020-12-05,-0.012975567502899557
2020-12-06,-0.01182490412929423
2020-12-07,-0.009883451100843136
2020-12-08,-0.01155081968384856
2020-12-09,-0.02682600980985587
2020-12-10,0.0006773813458347266
2020-12-11,-0.019279581001641028
2020-12-12,-0.008361671411467783
2020-12-13,-0.020858121366789734
2020-12-14,-0.004720739703209335
2020-12-15,-0.016287294324726902
2020-12-16,0.006222623777065024
2020-12-17,-0.023042561715736487
2020-12-18,-0.013422602494170266
2020-12-19,-0.019046887913481043
2020-12-20,-0.0016225407434021788
2020-12-21,-0.029275113503006045
2020-12-22,-0.001988854800955379
2020-12-23,-0.014693802909266288
2020-12-24,-0.0020186759472632376
2020-12-25,-0.029935145682733737
2020-12-26,-0.014409059323117424
2020-12-27,-0.016089963475797126
2020-12-28,-0.03206449862336913
2020-12-29,-0.02390949828343351
2020-12-30,-0.032661795827069774
2020-12-31,-0.03289061313809923
2021-01-01,-0.011058339575265511
2021-01-02,-0.018350918194404153
2021-01-03,-0.004972704714706159
2021-01-04,-0.010450740532731687
